metric,value
initial_train_loss,1.3486008242512426
final_train_loss,0.2930384923882307
best_train_loss,0.2930384923882307
best_train_loss_epoch,20.0
initial_train_accuracy,0.3701111111111111
final_train_accuracy,0.9025555555555556
best_train_accuracy,0.9025555555555556
best_train_accuracy_epoch,20.0
initial_val_loss,1.2386704124510288
final_val_loss,0.9015378144104034
best_val_loss,0.7021483909338713
best_val_loss_epoch,10.0
initial_val_accuracy,0.366
final_val_accuracy,0.803
best_val_accuracy,0.803
best_val_accuracy_epoch,20.0
loss_reduction_pct,78.27092441894888
accuracy_improvement_pct,53.24444444444445
total_epochs,20.0
